grid_id,latitude,longitude,elevation_m,slope_deg,distance_to_river_m
CH_05627,30.125194156849716,79.35157192546531,1343.009033203125,23.705242,0.000858608601186182
CH_12699,30.735908076743478,79.49270989376535,3043.323974609375,2.1989374,0.04130987784478914
CH_13692,30.109247773049894,79.52825897020709,1873.181396484375,17.010872,0.05166468518544595
CH_02080,30.498177413562402,79.24113110133247,2454.037109375,9.696084,0.07314126510702522
CH_02953,30.534674492301715,79.27174055774043,2573.959716796875,37.75108,0.07630651071482429
CH_13329,30.524103150563942,79.51162259673877,1391.73486328125,19.535946,0.08653064842769274
CH_10722,30.013751438049216,79.46227956714594,1814.1297607421875,17.217619,0.1366070330342307
CH_14364,30.059802623976985,79.54455030546349,1596.086669921875,30.51898,0.14156674064056754
CH_10827,30.487353323612172,79.45488427338962,1530.0108642578125,36.189053,0.21442606198828898
CH_09019,29.986258874313336,79.42642610395501,1163.0123291015625,20.819128,0.22055915497363945
CH_02391,30.056404604799493,79.26455161756996,1556.080078125,21.43923,0.3050989927518671
CH_16735,30.132595979997657,79.60057626065196,2149.626708984375,25.895588,0.3481572036183255
CH_30079,30.821798187771172,79.9722673592188,4210.79541015625,1.8142834,0.4753385382782235
CH_02694,30.070071708660127,79.27468635630258,1610.41455078125,28.437777,0.48119884364203364
CH_21175,30.201378098158884,79.70867740022005,2812.090576171875,36.13578,0.4869281180597325
CH_14267,30.64161039289697,79.53069489419116,2143.528076171875,43.08116,0.6055009462319729
CH_29825,30.853291717871663,79.96147354312413,4421.35009765625,4.345272,0.6613740925459201
CH_00690,30.339405967031006,79.1763680478249,1095.1116943359375,28.034805,0.7312890163017773
CH_10823,30.469312006003864,79.4551692291115,1329.4140625,47.018368,0.85437418810049
CH_16620,30.547525388992288,79.58944833425723,1517.3299560546875,22.830824,0.8649149577338109
CH_09625,30.464490725387567,79.42920712367466,1179.147216796875,46.52395,0.8988546500731646
CH_20701,30.020832885572837,79.70065450472693,1394.6724853515625,42.285603,0.9631177371990979
CH_27571,30.676668223537277,79.87985657080101,3116.9130859375,17.45139,1.0723587164945687
CH_30328,30.812858639267837,79.98281631555017,4156.369140625,2.6744754,1.1327217870919775
CH_27818,30.419626234966525,79.89321553096107,3872.874267578125,16.492262,1.2298426783415897
CH_08294,30.116877417208904,79.40879142651228,1023.0321044921875,25.432531,1.2521616466150924
CH_26656,30.766612285045333,79.84747043029701,3362.002197265625,15.734639,1.29038020394869
CH_12566,30.136018569001717,79.5019099455073,1788.4403076171875,12.562953,1.2975980523219512
CH_19113,30.593294361329214,79.651362469814,3676.261474609375,23.575115,1.3221171143972428
CH_20266,30.016218982953024,79.69034601571342,1572.2890625,43.571102,1.3420896532023514
CH_00597,30.2491373711961,79.1728421010191,1260.3751220703125,40.2072,1.3601336780336155
CH_20918,30.0208839759376,79.7058384140031,1378.7677001953125,4.7103343,1.3821038881388188
CH_26034,30.716805630496378,79.82717695982126,3291.402587890625,29.20685,1.3878449472075602
CH_20767,30.318560250936933,79.69674273564964,3672.08203125,22.045212,1.4452714604951977
CH_11676,30.180886074466216,79.48046059200529,2418.740234375,13.478624,1.5162301967800482
CH_25216,30.599284766118448,79.80251899056898,2458.867919921875,18.461517,1.5416179797786411
CH_11126,30.78057971975226,79.45544111322859,3490.163818359375,11.187086,1.5568699933591243
CH_05411,30.17023207771246,79.3456307816239,903.9814453125,14.593588,1.6257456004735762
CH_09916,30.658492969240246,79.43129620857327,4008.638916015625,24.117622,1.6553777369421145
CH_09092,30.315524499518723,79.42118963335766,1916.291015625,39.45836,1.6748741944524796
CH_25969,30.423592831196206,79.8306998746693,3584.8359375,9.933334,1.70221280252786
CH_02301,30.299880810489512,79.25507942410862,1056.444580078125,31.006157,1.775927269813223
CH_16857,30.682897237264996,79.59270372573758,2760.222412109375,32.08993,1.7808412592465699
